Panelist,Where do you primarily shop?,Do you use antiperspirants?,Gender,Age,Task,Benefit_anti-bac,Benefit_quick-drying,Caps_Cap2,Caps_Cap3,Caps_Cap5,Caps_Cap6,Caps_Cap4,Fragrance_fresh,Fragrance_citrus,Graphics_green-stripe,Graphics_green-image,Logo_DMC-green,Logo_DMC-grey,Time_72H,Time_48H,Variant_advanced,Variant_newformula,Rating,ResponseTime
1,Walmart,Yes,male,30,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,1.732
1,Walmart,Yes,male,30,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.599
1,Walmart,Yes,male,30,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0.584
1,Walmart,Yes,male,30,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0.482
1,Walmart,Yes,male,30,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.816
1,Walmart,Yes,male,30,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0.465
1,Walmart,Yes,male,30,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1.102
1,Walmart,Yes,male,30,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.566
1,Walmart,Yes,male,30,15,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,2,0.628
1,Walmart,Yes,male,30,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.465
1,Walmart,Yes,male,30,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0.432
1,Walmart,Yes,male,30,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0.548
1,Walmart,Yes,male,30,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0.433
1,Walmart,Yes,male,30,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0.499
1,Walmart,Yes,male,30,21,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3,1.065
2,Walmart,Yes,male,33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,5.981
2,Walmart,Yes,male,33,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,2.105
2,Walmart,Yes,male,33,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2.068
2,Walmart,Yes,male,33,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1.389
2,Walmart,Yes,male,33,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.827
2,Walmart,Yes,male,33,6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1.671
2,Walmart,Yes,male,33,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,1.536
2,Walmart,Yes,male,33,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1.803
2,Walmart,Yes,male,33,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1.721
2,Walmart,Yes,male,33,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1.429
2,Walmart,Yes,male,33,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.445
2,Walmart,Yes,male,33,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1.261
2,Walmart,Yes,male,33,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0.562
2,Walmart,Yes,male,33,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1.223
2,Walmart,Yes,male,33,15,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,3,1.628
2,Walmart,Yes,male,33,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.463
2,Walmart,Yes,male,33,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1.299
2,Walmart,Yes,male,33,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,1.102
2,Walmart,Yes,male,33,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1.538
2,Walmart,Yes,male,33,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,1.01
2,Walmart,Yes,male,33,21,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,1.367
3,Walmart,Yes,male,33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,5.443
3,Walmart,Yes,male,33,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1.083
3,Walmart,Yes,male,33,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1.689
3,Walmart,Yes,male,33,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1.089
3,Walmart,Yes,male,33,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.981
3,Walmart,Yes,male,33,6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1.424
3,Walmart,Yes,male,33,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,3.06
3,Walmart,Yes,male,33,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1.368
3,Walmart,Yes,male,33,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1.806
3,Walmart,Yes,male,33,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1.126
3,Walmart,Yes,male,33,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.625
3,Walmart,Yes,male,33,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1.089
3,Walmart,Yes,male,33,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1.155
3,Walmart,Yes,male,33,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2.958
3,Walmart,Yes,male,33,15,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,4,3.524
3,Walmart,Yes,male,33,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.085
3,Walmart,Yes,male,33,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,1.694
3,Walmart,Yes,male,33,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,1.105
3,Walmart,Yes,male,33,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,2.074
3,Walmart,Yes,male,33,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,3.01
3,Walmart,Yes,male,33,21,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,1.773
5,Walmart,Yes,male,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1.43
5,Walmart,Yes,male,17,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0.459
5,Walmart,Yes,male,17,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.363
5,Walmart,Yes,male,17,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0.297
5,Walmart,Yes,male,17,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.229
5,Walmart,Yes,male,17,6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0.213
5,Walmart,Yes,male,17,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0.264
5,Walmart,Yes,male,17,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.245
5,Walmart,Yes,male,17,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0.28
5,Walmart,Yes,male,17,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.179
5,Walmart,Yes,male,17,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.21
5,Walmart,Yes,male,17,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0.16
5,Walmart,Yes,male,17,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0.144
5,Walmart,Yes,male,17,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.122
5,Walmart,Yes,male,17,15,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,2,0.077
5,Walmart,Yes,male,17,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.111
5,Walmart,Yes,male,17,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0.129
5,Walmart,Yes,male,17,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0.128
5,Walmart,Yes,male,17,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0.147
5,Walmart,Yes,male,17,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0.13
5,Walmart,Yes,male,17,21,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0.065
6,Walmart,Yes,male,33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,4.823
6,Walmart,Yes,male,33,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,1.373
6,Walmart,Yes,male,33,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1.798
6,Walmart,Yes,male,33,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2.057
6,Walmart,Yes,male,33,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.911
6,Walmart,Yes,male,33,6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0.991
6,Walmart,Yes,male,33,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,1.777
6,Walmart,Yes,male,33,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1.305
6,Walmart,Yes,male,33,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1.458
6,Walmart,Yes,male,33,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1.442
6,Walmart,Yes,male,33,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.543
6,Walmart,Yes,male,33,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1.257
6,Walmart,Yes,male,33,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1.393
6,Walmart,Yes,male,33,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1.143
6,Walmart,Yes,male,33,15,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,2.026
6,Walmart,Yes,male,33,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.339
6,Walmart,Yes,male,33,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1.325
6,Walmart,Yes,male,33,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,1.111
6,Walmart,Yes,male,33,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1.905
6,Walmart,Yes,male,33,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,1.28
6,Walmart,Yes,male,33,21,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,5,1.289
